,Country,Year,GHG Engery,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP,CO2-GDP logged,CO2-GDP PPP logged,CO2-POP logged,Socioeconomic Measures
29,Poland,1971,293.139809,818.633655,292.3211754,258.7104788,21.85254658,10.31951854,1.649913924,0.525876995,79.735,2.298,1.076,8.761,0.3613500243522664,0.0318122713303704,0.9425536803342098,6.835715976016846
30,Portugal,1971,0.0,0.0,14.699744,2.543452848,12.02068514,0.0,2.341279817,0.707135025,54.768,0.216,0.14,1.649,-0.6655462488490691,-0.8538719643217619,0.21722065564451878,4.197802442473687
31,Slovakia,1971,0.0,0.0,39.20716305,24.37208842,12.10299877,2.664698057,0.0,0.0,65.103,1.107,0.603,8.529,0.0441476208787228,-0.2196826878598487,0.9308981144101046,6.255363047428979
32,Slovenia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
33,Spain,1971,0.0,0.0,120.4540028,38.66548462,81.09859467,0.688938898,6.006340342,1.758619346,66.76,0.298,0.22,3.44,-0.5257837359237448,-0.6575773191777937,0.5365584425715301,4.853197387469992
34,Sweden,1971,83.12029424,14.625765,83.10566847,5.56744117,77.21846921,0.0,3.622786567,0.332045897,54.374,0.436,0.458,10.132,-0.36051351073141397,-0.3391345219961308,1.0056951811185104,5.806047148390966
35,Switzerland,1971,0.0,0.0,39.49324637,1.994111028,37.38549047,0.029593226,0.0,1.644857544,56.72,0.112,0.144,6.136,-0.9507819773298184,-0.8416375079047503,0.7878853509409246,4.495465865706356
36,Turkey,1971,0.0,0.0,44.57798643,16.78701335,25.68061632,0.0,0.266438011,0.08916055,51.004,0.299,0.128,1.152,-0.5243288116755703,-0.8927900303521317,0.06145247908719321,4.144333637059491
37,United Kingdom,1971,632.5675725,2456.448588,630.1111239,358.9141583,249.4743644,21.72260114,17.55185871,7.148212645,71.093,0.518,0.547,11.106,-0.28567024025476695,-0.2620126736665692,1.0455576691365478,5.997874755215212
38,Albania,1971,0.0,0.0,4.03919787,1.233585366,2.417892411,0.251194867,0.0,0.0,53.706,1.325,0.449,1.765,0.12221587827282664,-0.3477536589966768,0.24674470972384135,5.521206928999991
39,Armenia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
40,Azerbaijan,1971,43.92996204,43929.96204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
41,Belarus,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
42,Bosnia and Herz.,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
43,Bulgaria,1971,0.0,0.0,64.6328678,34.46174586,29.48608353,0.588166056,0.0,0.614900087,80.135,3.862,1.486,7.478,0.586812269443376,0.1720188094245565,0.8737854608182007,7.132616539686133
44,Croatia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
45,Cyprus,1971,0.0,0.0,1.76537118,0.0,1.764276428,0.0,0.006252764,0.150655956,70.953,0.679,0.499,2.827,-0.1681302257194983,-0.3018994543766101,0.4513258084895196,5.481296128393411
46,Georgia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
47,Gibraltar,1971,0.0,0.0,0.069442344,0.0,0.069442344,0.0,3.537022245,0.01537254,55.447,0.15,0.184,2.538,-0.8239087409443188,-0.7351821769904635,0.4044916177586859,4.345400699823903
48,Kazakhstan,1971,12.86279945,12862.79945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
49,Kosovo,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
50,Kyrgyzstan,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
51,Malta,1971,0.0,0.0,0.662333049,0.0,0.662333049,0.0,0.189947888,0.175246412,74.272,0.65,0.432,2.162,-0.18708664335714442,-0.3645162531850879,0.3348556896172915,5.283252793075059
52,Moldova,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
53,Montenegro,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
54,North Macedonia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
55,Romania,1971,126.6033346,10763.4466,115.839888,32.82522526,30.11406397,52.39593257,0.0,0.064680115,65.003,2.173,0.902,5.604,0.33705972632052456,-0.04479346245805826,0.748498126613737,6.540764390476204
56,Russia,1971,218.9921005,218992.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
57,Serbia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
58,Tajikistan,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
59,Turkmenistan,1971,25.07542665,25075.42665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
60,Ukraine,1971,1.80119325,1801.19325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
61,Uzbekistan,1971,5.13791489,5137.91489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
62,Former Soviet Union (if no detail),1971,0.0,0.0,1961.930699,891.2094845,645.2051226,422.5887107,13.31279863,67.33154974,60.355,2.124,0.764,7.985,0.3271545124094315,-0.11690664142431006,0.9022749204745018,6.612522791459623
63,Former Yugoslavia (if no detail),1971,0.0,0.0,62.60535115,36.95936148,24.13688105,1.269281666,0.0,0.648845332,67.365,0.903,0.395,3.017,-0.04431224968649419,-0.40340290437353976,0.47957531017498845,5.531860156114955
64,Algeria,1971,40.86365183,32172.90855,8.690743282,0.384980129,5.920485572,2.383026355,0.61509066,0.292902876,59.253,0.284,0.099,0.609,-0.5466816599529624,-1.00436480540245,-0.21538270736712464,3.733570827277463
65,Angola,1971,6.170838874,3739.991821,2.430847053,0.0,1.5557448,0.084804962,0.777670236,0.229600817,10.032,0.042,0.024,0.262,-1.3767507096020994,-1.6197887582883939,-0.5816987086802545,1.921761823429252
66,Benin,1971,0.5149340459,0.1051809,0.514828865,0.0,0.3103786,0.0,0.0,0.015891481,6.585,0.118,0.044,0.099,-0.9281179926938746,-1.3565473235138126,-1.00436480540245,2.2109698783898626
67,Botswana,1971,0.207299294,0.0,0.207299294,0.0,0.151253289,0.0,0.0,0.003189042,17.369,0.23,0.1,0.246,-0.638272163982407,-1.0,-0.6090648928966209,3.2526629431209724
68,Cameroon,1971,1.562839051,0.408343,1.562430708,0.0,0.749360388,0.0,0.0,0.169011721,6.504,0.119,0.048,0.111,-0.9244530386074693,-1.3187587626244128,-0.9546770212133425,2.3021111775547753
69,Congo,1971,0.8994651016,235.3869076,0.664078194,0.0,0.577480956,0.004245362,0.0,0.0,26.932,0.314,0.165,0.398,-0.5030703519267851,-0.7825160557860937,-0.40011692792631215,3.8142966643608087
70,Côte d'Ivoire,1971,2.777145807,0.8711155,2.776274691,0.0,2.433882187,0.0,0.062229567,0.130745018,23.364,0.169,0.072,0.42,-0.7721132953863264,-1.1426675035687315,-0.37675070960209955,3.2084684914428423
71,Dem. Rep. Congo,1971,4.208489199,0.9698353,4.207519364,1.018046865,1.58556206,0.0,0.407603795,0.280147308,9.214,0.106,0.058,0.124,-0.9746941347352298,-1.2365720064370627,-0.906578314837765,2.3821555439899424
72,Egypt,1971,28.71793739,8254.225635,20.46371175,1.423454434,18.62397804,0.165213153,0.059847415,0.212093269,52.734,0.519,0.155,0.564,-0.28483264215154214,-0.8096683018297085,-0.24872089601665776,4.156778160002092
73,Equatorial Guinea,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
74,Eritrea,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
75,Kingdom of Eswatini,1971,0.397943006,0.0,0.397943006,0.0,0.227342338,0.0,0.0,0.003189042,9.315,0.368,0.153,0.491,-0.43415218132648237,-0.8153085691824012,-0.3089185078770315,3.941620741614085
76,Ethiopia,1971,4.757909606,0.6059573,4.757303649,0.0,1.325740061,0.0,0.069520128,0.143394921,2.944,0.133,0.05,0.045,-0.8761483590329142,-1.3010299956639813,-1.3467874862246563,1.9760341590784485
77,Gabon,1971,3.887662909,3261.067167,0.626595742,0.0,0.47694185,0.0,0.204672483,0.025511135,10.606,0.129,0.065,0.779,-0.889410289700751,-1.1870866433571443,-0.10846254232743553,3.315040524614669
78,Ghana,1971,2.52304513,0.6642863,2.522380844,0.0,1.951280171,0.0,0.16140298,0.133880931,15.264,0.185,0.063,0.21,-0.7328282715969862,-1.2006594505464183,-0.6777807052660807,2.8887315725905145
79,Kenya,1971,4.224371092,1.6108205,4.222760271,0.204709715,3.115170504,0.0,1.488343337,0.580379826,14.262,0.281,0.112,0.272,-0.5512936800949201,-0.9507819773298184,-0.5654310959658012,3.4324932466094604
80,Libya,1971,118.3098573,113070.4296,5.239427746,0.0,1.633862871,3.570249275,0.0093345,0.271056562,78.697,0.069,0.025,2.643,-1.1611509092627446,-1.6020599913279623,0.4220971631317103,3.1588862625410035
81,Madagascar,1971,1.086274837,0.0,1.086274837,0.0,0.724749897,0.0,0.273018219,0.018446928,12.465,0.123,0.037,0.104,-0.9100948885606021,-1.431798275933005,-0.9829666607012196,2.1751401748051733
82,Mauritius,1971,0.0,0.0,0.292688037,0.0,0.264050174,0.0,0.054253801,0.06696688,17.137,0.198,0.095,0.312,-0.7033348097384688,-1.0222763947111522,-0.5058454059815573,3.268543389568822
83,Morocco,1971,6.911917725,25.438185,6.88647954,1.204949895,5.34883085,0.101533431,0.242398461,0.350567388,53.176,0.358,0.147,0.42,-0.44611697335612566,-0.8326826652518239,-0.37675070960209955,3.844449651789951
84,Mozambique,1971,4.528599458,62.6960338,4.465903424,1.491099892,1.469116086,0.0,0.764150621,0.117989151,10.101,0.913,0.417,0.34,-0.039529222465701036,-0.3798639450262425,-0.46852108295774486,4.612085749550312
85,Namibia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
86,Niger,1971,0.42282071,0.0,0.42282071,0.0,0.186693824,0.0,0.0,0.0,6.089,0.051,0.021,0.038,-1.2924298239020637,-1.6777807052660807,-1.4202164033831899,1.1095730674486655
87,Nigeria,1971,80.30072517,63708.48256,16.59224261,0.520855972,4.86113775,0.40487025,0.015557392,0.245333505,4.104,0.055,0.028,0.1,-1.2596373105057561,-1.5528419686577808,-1.0,1.687520720836463
88,Rwanda,1971,0.814048081,0.0,0.814048081,0.0,0.062017461,0.0,0.0,0.003075586,0.329,0.048,0.02,0.015,-1.3187587626244128,-1.6989700043360187,-1.8239087409443189,0.6583624920952493
89,Senegal,1971,1.393560358,1.2636043,1.392296754,0.0,1.231316225,0.0,3.017021164,0.302786688,23.381,0.26,0.107,0.27,-0.585026652029182,-0.9706162223147904,-0.5686362358410126,3.375720889815015
90,South Africa,1971,168.1529264,7674.634258,160.4782922,130.6829035,28.32138754,0.0,10.92203575,0.53430681,82.602,1.317,0.601,6.822,0.1195857749617838,-0.22112552799726048,0.8339117150713784,6.232371962035902
91,S. Sudan,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
92,Sudan,1971,4.037475729,1.5945495,4.03588118,0.0,3.25892776,0.0,0.0,0.339995575,10.922,0.163,0.08,0.213,-0.7878123955960422,-1.0969100130080565,-0.6716203965612623,2.943657194834639
93,Tanzania,1971,2.469196817,0.606508,2.468590309,0.0,1.423501768,0.0,0.053380283,0.08588861,7.504,0.209,0.084,0.1,-0.679853713888946,-1.0757207139381184,-1.0,2.7444255721729354
94,Togo,1971,0.4726184293,0.1239963,0.472494433,0.0,0.348639014,0.0,0.0,0.0,11.286,0.2,0.082,0.152,-0.6989700043360187,-1.0861861476162833,-0.8181564120552275,2.8966874359924706
95,Tunisia,1971,5.480431627,1606.941653,3.873489974,0.293977129,3.460411889,0.002122799,0.060670844,0.388992883,53.67,0.562,0.213,0.718,-0.2502636844309389,-0.6716203965612623,-0.14387555575769967,4.434240363250099
96,Uganda,1971,1.962666773,0.0,1.962666773,0.0,0.813858602,0.0,0.0,0.26786752,4.105,2.073,0.72,0.075,0.31659930209386083,-0.14266750356873156,-1.1249387366083,4.548993061916829
97,Zambia,1971,0.0,0.0,3.929958193,2.025628634,1.379846972,0.0,0.0,0.04406275,21.824,0.606,0.236,0.765,-0.21752737583371382,-0.6270879970298935,-0.11633856484638239,4.53904606229001
98,Zimbabwe,1971,0.0,0.0,8.441457405,5.821656382,1.529900045,0.0,0.0,0.08588861,31.816,1.269,0.684,1.351,0.10346162209470475,-0.16494389827988373,0.13065534902203058,5.569173072836851
99,Other Africa,1971,0.0,0.0,10.90666796,0.112742928,5.646971132,0.0,2.960002784,0.325267874,8.211,0.214,0.09,0.131,-0.6695862266508091,-1.0457574905606752,-0.8827287043442357,2.90192757844428
100,Bangladesh,1971,4.613288024,91.2686185,4.522019405,0.372997136,2.218336105,0.309054475,0.065438089,0.060430303,12.096,0.075,0.026,0.042,-1.1249387366083,-1.585026652029182,-1.3767507096020994,1.413283901760419
101,Brunei Darussalam,1971,8.880274005,8476.578555,0.40369545,0.0,0.172466193,0.228892638,0.0,0.003189042,53.624,0.072,0.036,2.864,-1.1426675035687315,-1.4436974992327127,0.45697301363581794,3.3706080108343737
102,Cambodia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
103,DPR of Korea,1971,0.0,0.0,69.66453319,67.19181451,2.388167557,0.0,0.0,0.0,84.812,7.985,2.21,4.482,0.9022749204745018,0.3443922736851107,0.6514718521990425,7.398139046358654
104,India,1971,215.5799116,10730.60298,204.8493087,128.2389413,53.3398778,1.024008226,0.718163651,1.692030394,32.494,0.943,0.283,0.317,-0.02548830726267165,-0.5482135644757098,-0.4989407377822485,4.42735739047937
105,Indonesia,1971,53.68414619,19064.26408,34.61988211,0.531658549,24.85287791,0.10188727,0.708046708,0.165822679,17.179,0.349,0.114,0.213,-0.45717457304082015,-0.9430951486635274,-0.6716203965612623,3.42810988173439
106,Laos,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
107,Malaysia,1971,28.02881119,1719.46717,26.30934402,13.16037019,12.88446068,0.014838382,0.10929839,0.420300059,102.221,1.24,0.498,2.449,0.09342168516223506,-0.30277065724028246,0.3889887851247141,5.679639813046666
108,Mongolia,1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
109,Myanmar,1971,0.0,0.0,6.625537936,0.566644328,3.878422369,0.115693474,0.006417043,0.025405471,13.632,0.972,0.267,0.162,-0.012333735073725434,-0.5734887386354247,-0.790484985457369,4.123692540833481
110,Nepal,1971,0.0,0.0,1.496141662,0.028727641,0.16377559,0.0,0.0,0.009566825,1.242,0.047,0.014,0.015,-1.3279021420642825,-1.853871964321762,-1.8239087409443189,0.4943171526696366
111,Pakistan,1971,20.50298628,973.7194225,19.52926686,2.602768935,8.563418165,4.887424252,0.291601701,1.139099136,22.247,0.435,0.133,0.261,-0.3615107430453627,-0.8761483590329142,-0.583359492661719,3.678981405260004
112,Philippines,1971,26.35263031,8.08928,26.34454103,0.04978095,24.23316836,0.0,1.308633694,0.709404743,37.645,0.444,0.185,0.624,-0.3526170298853802,-0.7328282715969862,-0.20481541031757602,4.2097392882000575
113,Singapore,1971,0.0,0.0,6.116192583,0.017674244,6.047722598,0.047145111,8.979678251,0.704112189,53.005,0.371,0.238,2.868,-0.43062609038495414,-0.623423042943488,0.4575791469957625,4.9035300136673206
114,Sri Lanka,1971,0.0,0.0,3.679131754,0.006074152,2.793644593,0.0,1.20131664,0.0,17.342,0.299,0.099,0.216,-0.5243288116755703,-1.00436480540245,-0.6655462488490691,3.3057601340729104
115,Chinese Taipei,1971,0.0,0.0,30.22306075,10.34271624,18.31506498,1.565279528,0.398276736,1.418357775,71.291,1.076,0.522,1.965,0.0318122713303704,-0.28232949699773785,0.2933625547114455,5.542845329044078
116,Thailand,1971,17.63624705,12.137905,17.62410915,0.476881333,16.08575574,0.0,0.212556289,1.144233007,28.481,0.456,0.168,0.445,-0.341035157335565,-0.7746907182741372,-0.3516399890190684,4.03263413537123
117,Vietnam,1971,19.64531509,830.769655,18.81454544,5.767945203,10.75836149,0.0,0.0,6.976649855,29.429,0.741,0.253,0.38,-0.13018179202067184,-0.5968794788241821,-0.42021640338318983,4.352722325771956
118,Other Asia,1971,0.0,0.0,11.58893873,4.538450183,5.73435574,0.46083053,0.572979874,0.395370667,44.662,0.387,0.206,0.394,-0.4122890349810886,-0.6861327796308466,-0.40450377817442584,3.997074407213639
119,China,1971,900.9033828,45807.0339,855.0963489,677.1949443,114.3927467,7.368577125,2.408285421,0.0,47.648,3.116,1.937,0.928,0.4935974490005269,0.2871296207191108,-0.032452023781137915,6.2482750459385
120,"Hong Kong, China",1971,0.0,0.0,9.286440021,0.101027172,9.129644825,0.052341269,1.997307182,1.42543843,74.264,0.32,0.241,2.282,-0.494850021680094,-0.6179829574251317,0.35831564008219585,4.74548266097697
121,Argentina,1971,99.26713286,16519.98008,82.74715278,3.823525119,67.49541805,11.19258464,0.891412419,0.685613409,60.739,0.318,0.237,3.374,-0.4975728800155673,-0.6252516539898961,0.5281450782531064,4.905320544247643
122,Bolivia,1971,10.58440185,8351.634057,2.232767794,0.0,2.076563635,0.095569895,0.0,0.0,50.021,0.434,0.185,0.456,-0.3625102704874893,-0.7328282715969862,-0.341035157335565,4.063626300579959
123,Brazil,1971,102.8109078,4133.030025,98.67787774,6.069098706,82.27429521,0.512350546,1.007399451,0.0,29.936,0.253,0.151,0.886,-0.5968794788241821,-0.8210230527068306,-0.05256627811294924,4.029531190356038
124,Cuba,1971,21.28754934,32.7380305,21.25481131,0.409676197,20.49709523,0.076759543,0.0,0.269706465,47.398,0.829,0.267,2.306,-0.08144546944972647,-0.5734887386354247,0.36285930295868024,5.207925094873529
125,Curaçao,1971,0.0,0.0,14.5864347,0.0,14.5864347,0.0,7.788793351,0.155780074,63.375,11.173,8.883,90.151,1.0481697987660177,0.9485596621089616,1.9549705484968365,9.451700009371816
126,Dominican Rep.,1971,0.0,0.0,3.727117683,0.0,3.533883006,0.0,0.0,0.079722448,35.566,0.396,0.186,0.758,-0.40230481407448765,-0.7304870557820837,-0.12033079436794646,4.2468773357754825
127,Ecuador,1971,4.107823598,182.6442753,3.925179323,0.0,3.55819391,0.0,0.280033053,0.274245304,37.314,0.184,0.102,0.55,-0.7351821769904635,-0.9913998282380825,-0.2596373105057561,3.513780684265698
128,El Salvador,1971,0.0,0.0,1.727494536,0.0,1.32216845,0.0,0.0,0.035077961,17.782,0.12,0.058,0.352,-0.9208187539523752,-1.2365720064370627,-0.453457336521869,2.889151903088693
129,Guatemala,1971,0.0,0.0,2.902172657,0.0,2.290305877,0.0,0.181818692,0.152696996,19.774,0.158,0.077,0.405,-0.8013429130455774,-1.1135092748275182,-0.3925449767853314,3.192602835341573
130,Guyana,1971,1.548244016,0.0,1.548244016,0.0,1.510518886,0.0,0.0,0.022322393,45.791,0.671,0.334,2.102,-0.17327747983100789,-0.4762535331884355,0.3226327116922234,5.17310169867278
131,Haiti,1971,0.0,0.0,0.784739242,0.0,0.38352359,0.0,0.0,0.019133352,5.046,0.055,0.025,0.079,-1.2596373105057561,-1.6020599913279623,-1.1023729087095586,1.535929789456723
132,Honduras,1971,0.0,0.0,1.45919925,0.0,1.138234361,0.0,0.0,0.022322393,19.309,0.273,0.13,0.392,-0.563837352959244,-0.8860566476931632,-0.4067139329795427,3.64339206636805
133,Jamaica,1971,0.0,0.0,7.765943716,0.0,7.730835904,0.0,0.270698877,0.420934931,64.898,0.797,0.445,4.067,-0.09854167860388763,-0.3516399890190684,0.6092741724045876,5.659092504781632
